company,date,open,high,low,close
SAP,2020-11-16,120.56,120.69,118.47,118.95
SAP,2020-11-17,117.45,117.65,116.43,116.99
ZM,2020-10-19,572.5,588.84,562.55,568.34
ZM,2020-10-20,572.33,575.69,534.59,537.02
ZM,2020-10-21,535.88,551.66,511.78,513.19
ZM,2020-10-22,521.78,530.43,503.47,520.54
ZM,2020-10-23,522.33,527,505.41,511.52
ZM,2020-10-26,520.49,541.11,510.31,517.79
ZM,2020-10-27,525.22,540,513.3,538.99
ZM,2020-10-28,549.5,553.86,511.5,516.01
ZM,2020-10-29,521.19,525.46,483.5,489.68
ZM,2020-10-30,481.5,495.95,457.02,460.91
ZM,2020-11-02,462.29,477,440,453
ZM,2020-11-03,456.33,461.88,445.01,451.51
ZM,2020-11-04,471.92,484.94,455.4,483.7
ZM,2020-11-05,497.99,499.35,480.76,496.73
ZM,2020-11-06,494.66,505.88,482.73,500.11
ZM,2020-11-09,433,446.47,402,413.24
ZM,2020-11-10,412.5,414.45,366.28,376.01
ZM,2020-11-11,391.65,419.8,385,413.34
ZM,2020-11-12,427.85,435.75,419.61,428.64
ZM,2020-11-13,425.99,428.47,396.87,403.58
ZM,2020-11-16,382.6,400.8,375.1,399.15
ZM,2020-11-17,406.29,411.5,396.32,401.63
SHOP,2020-10-19,1070.78,1090.2,1054.81,1069
SHOP,2020-10-20,1068,1078.42,1046.04,1056.49
SHOP,2020-10-21,1054.94,1068.96,1018.02,1022.01
SHOP,2020-10-22,1026.75,1033.91,990.5,1007.07
SHOP,2020-10-23,1001.5,1026.96,996.27,1026.22
SHOP,2020-10-26,1019,1044.39,1008.06,1038.05
SHOP,2020-10-27,1066.93,1088,1057.42,1082.89
SHOP,2020-10-28,1058.19,1067.09,1016.83,1026.71
SHOP,2020-10-29,1052.58,1054.56,975,977
SHOP,2020-10-30,973.9,987.3,906.22,925.43
SHOP,2020-11-02,934.57,954.29,898.88,914.99
SHOP,2020-11-03,923,952.91,910.54,941.72
SHOP,2020-11-04,976,1002.67,955,996
SHOP,2020-11-05,1027,1038.8,1003.01,1036.5
SHOP,2020-11-06,1031,1045.08,1003.08,1045
SHOP,2020-11-09,990,991.72,900,902.6
SHOP,2020-11-10,912,924,875,885.76
SHOP,2020-11-11,904,948.16,898.6,947.18
SHOP,2020-11-12,946,954.79,921.73,925.8
SHOP,2020-11-13,934.54,936.91,908.4,918.3
SHOP,2020-11-16,890.11,919.39,880,919.22
SHOP,2020-11-17,925,929.8,905.17,914.02
SNE,2020-10-19,73.7,73.86,72.81,72.93
SNE,2020-10-20,74.63,75.87,74.58,75.57
SNE,2020-10-21,75.33,75.43,74.4,74.64
SNE,2020-10-22,74.88,74.97,74.21,74.6
SNE,2020-10-23,75.19,75.57,74.51,75.43
SNE,2020-10-26,75.75,76.43,75.55,76.2
SNE,2020-10-27,77.3,78.29,76.95,77.47
SNE,2020-10-28,81.9,81.95,79.11,81.6
SNE,2020-10-29,83.76,83.88,82.56,83.43
SNE,2020-10-30,83.25,84.05,82.58,83.66
SNE,2020-11-02,84.12,85.92,84.04,85.5
SNE,2020-11-03,86,87.25,86,86.41
SNE,2020-11-04,85.38,87.27,85.17,86.41
SNE,2020-11-05,88.75,90.88,88.72,90.39
SNE,2020-11-06,89.1,90.17,88.66,89.39
SNE,2020-11-09,90,90,86.6,86.61
SNE,2020-11-10,86.05,86.44,85.28,85.91
SNE,2020-11-11,86.48,88.69,86.26,88.09
SNE,2020-11-12,87.47,88.14,86.86,87.11
SNE,2020-11-13,88.97,90.05,88.54,89.72
SNE,2020-11-16,90.69,91.1,90.05,90.45
SNE,2020-11-17,90.24,90.7,89.52,89.71
IBM,2020-10-19,126.8,127.35,125.08,125.52
IBM,2020-10-20,119.8,120.15,116.84,117.37
IBM,2020-10-21,116.66,117.69,114.79,115.06
IBM,2020-10-22,115,116.06,112.98,115.76
IBM,2020-10-23,116.5,116.62,115.53,116
IBM,2020-10-26,114.45,114.9,111.84,112.22
IBM,2020-10-27,112.15,112.22,110.03,110.56
IBM,2020-10-28,108.66,109.73,105.92,106.65
IBM,2020-10-29,107.25,109.64,106.55,108.91
IBM,2020-10-30,107.9,111.8,107.75,111.66
IBM,2020-11-02,112.65,113.83,112.25,112.91
IBM,2020-11-03,114,115.65,113.63,114.16
IBM,2020-11-04,112.33,113.91,111.16,111.9
IBM,2020-11-05,113.3,115.29,113.01,114.77
IBM,2020-11-06,115.08,115.1,113.39,114.04
